last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Happ, Ian,664023,372,10,29.6,113.9,89.4,94.4,86,429,154,390,148,40,27,7.3,4.8
Farmer, Kyle,571657,371,12.5,38.3,106.6,85.5,90.3,82.2,431,154,388,127,34.5,15,4,3
Hays, Austin,669720,371,11.3,32.9,109,88,92.8,85.8,464,157,399,147,39.6,22,5.9,4.3
Espinal, Santiago,669289,370,14.1,34.6,107.5,86.1,88.5,86.7,407,153,383,118,31.9,13,3.5,2.7
Ohtani, Shohei,660271,370,12.8,34.6,119.1,92.7,97.3,87.7,462,182,408,179,48.4,66,17.8,11.3
Marte, Starling,516782,369,7.5,38.5,113.3,86.8,91.9,82.9,444,146,405,125,33.9,25,6.8,5
Murphy, Sean,669221,369,12.3,34.7,114,88.9,95.6,84.1,454,169,411,155,42,41,11.1,7.6
Yelich, Christian,592885,368,3.5,31.3,117.2,91.7,95.7,89.7,499,130,423,183,49.7,32,8.7,5.5
Rojas, Miguel,500743,368,10.7,33.2,109.1,86,89.4,84.6,400,151,381,99,26.9,8,2.2,1.8
McCutchen, Andrew,457705,367,13.4,35.4,110.6,89.1,93.2,85.3,444,170,395,147,40.1,31,8.4,6
Smith, Will,669257,365,18.8,37.8,109,90.2,93.9,83.9,435,204,403,156,42.7,39,10.7,7.7
Mountcastle, Ryan,663624,364,16,38.5,112,91.2,94.5,87.7,437,189,407,168,46.2,54,14.8,10.2
Kim, Ha-Seong,673490,363,16.2,33.9,109.4,86.4,90.8,83.8,426,160,401,114,31.5,16,4.4,3.2
Judge, Aaron,592450,360,15,38.6,118.4,95.7,99.8,89.4,465,206,411,220,61.1,93,25.8,15.2
Springer, George,543807,359,13.5,30.6,113.6,88.4,92.9,86.3,433,156,389,148,41.2,27,7.5,5.4
Lopez, Nicky,670032,359,5.2,31.8,106.7,85.2,88.8,83.3,396,129,,87,24.2,5,1.4,1.1
Torres, Gleyber,650402,359,18,36.2,110.4,90.1,94.4,85.4,438,188,383,159,44.4,34,9.5,6.7
Tellez, Rowdy,642133,358,14.7,31.3,116.9,91.3,94.9,90,453,177,405,167,46.6,48,13.4,9.1
Báez, Javier,595879,358,8,27.4,112.1,87.8,92.9,85.4,459,141,393,131,36.7,26,7.3,5
Estrada, Thairo,642731,357,7.7,31.7,109.3,86,91.4,82.7,418,138,392,110,30.8,16,4.5,3.4
Marte, Ketel,606466,356,13.8,31.2,115,89.8,91.7,89.8,438,168,403,148,41.6,21,5.9,4.2
Reynolds, Bryan,668804,352,11.9,34.7,111.9,89.6,92.4,86.7,442,164,398,146,41.5,24,6.8,4.5
Martinez, J.D.,502110,348,14.1,41.7,111.6,89.3,94,83.8,422,185,400,145,41.7,42,12.1,8
Turner, Justin,457759,348,18.9,40.5,108.9,89.4,92,86,414,193,393,141,40.5,31,8.9,6.5
Urshela, Gio,570482,347,12,40.1,110.3,89.2,92.5,86,434,175,403,136,39.2,26,7.5,5.6
Varsho, Daulton,662139,347,14.4,33.1,110.3,87.9,94.4,82.1,451,170,405,127,36.6,36,10.4,7
Ruiz, Keibert,660688,347,14.9,36,109.4,88,90.7,86.1,424,172,394,112,32.3,13,3.7,3
Adames, Willy,642715,346,18.8,35.3,109.3,89,94.7,82.3,442,191,401,151,43.6,45,13,8.5
Rodríguez, Julio,677594,346,10.3,32.7,117.2,91.9,96.3,89.3,450,160,397,174,50.3,46,13.3,8.7
Drury, Brandon,592273,345,13.9,34.2,112.4,89.2,92.7,87,437,172,388,148,42.9,38,11,7.7
Mancini, Trey,641820,344,12.5,40.4,111.8,89.6,93.3,86.5,438,181,387,143,41.6,34,9.9,6.5
Correa, Carlos,621043,344,10.9,36.3,114.6,89.7,94.9,85.4,458,170,409,150,43.6,41,11.9,8.2
Pham, Tommy,502054,343,7.4,32.9,112.6,92.1,94.9,90.3,437,158,405,168,49,26,7.6,4.7
Pollock, AJ,572041,340,12.3,32.9,110.8,88.5,94.6,84.4,411,156,384,142,41.8,32,9.4,7
Hayes, Ke'Bryan,663647,339,6.1,30.7,113,91.2,93.2,91.8,425,145,395,162,47.8,14,4.1,2.8
Schoop, Jonathan,570731,338,8.9,29,111.6,87,92,85,430,142,395,131,38.8,16,4.7,3.5
Peña, Jeremy,665161,337,8.3,31.8,110.5,87.4,93.2,83.2,429,151,396,119,35.3,30,8.9,6.2
Rengifo, Luis,650859,336,10.3,32.7,109.3,86.8,90.9,85.4,434,147,395,113,33.6,16,4.8,3.8
Giménez, Andrés,665926,336,13.2,31.8,109.9,87.5,91.9,85.5,422,151,401,126,37.5,23,6.8,4.8
Grichuk, Randal,545341,336,8.2,27.4,111.6,90,93.3,88.8,462,150,415,147,43.8,22,6.5,4.6
Winker, Jesse,608385,333,17.1,31.5,110,87.7,90.6,87.4,446,163,407,111,33.3,26,7.8,5.1
Realmuto, J.T.,592663,333,13.9,34.2,110.4,90.1,94.5,86.9,424,167,391,157,47.1,34,10.2,7
Cruz, Nelson,443558,332,7.2,28,113.8,90.9,94.2,89.3,440,139,408,153,46.1,31,9.3,6.1
Ozuna, Marcell,542303,330,16.3,30.6,113.9,89.4,94.9,84.7,458,177,416,143,43.3,43,13,9.1
Schwarber, Kyle,656941,329,19.2,35.3,114.8,93.1,99.6,86.3,468,198,417,178,54.1,67,20.4,11.5
Chapman, Matt,656305,328,19.7,35.4,112.7,92.6,96.3,90.8,432,190,406,172,52.4,44,13.4,8.1
Suárez, Eugenio,553993,328,20.2,36.9,111.4,89.6,94.2,82.7,441,201,403,140,42.7,49,14.9,8.3
Aguilar, Jesús,542583,326,19.1,39.3,108.1,87.7,90.9,85.7,439,189,405,118,36.2,23,7.1,4.9
Kepler, Max,596146,326,11.1,31.9,113.8,89.1,92.8,86.7,423,156,399,130,40,23,7.1,5.2
Escobar, Eduardo,500871,326,20.9,38,111.5,88.5,92.3,84,432,200,394,122,37.4,31,9.5,6.6
Naylor, Josh,647304,324,10.2,29,113,89,94.7,85.6,421,149,393,135,41.7,27,8.3,6.4
McMahon, Ryan,641857,324,11.3,38,113.7,91.8,95.2,87.4,495,176,426,151,46.6,31,9.6,6
Rizzo, Anthony,519203,323,19.8,34.4,113.3,89.6,93.4,85.4,435,195,392,136,42.1,37,11.5,7.6
Canha, Mark,592192,322,11,32,108,88.2,91.3,86.9,423,154,393,121,37.6,16,5,3.4
Thomas, Lane,657041,322,13,32.3,110.1,86.4,93.1,82.9,431,154,393,114,35.4,22,6.8,4.7
Alvarez, Yordan,670541,322,11.7,40.1,117.4,95.4,98.3,92.3,469,193,402,195,60.6,65,20.2,13.2
Ward, Taylor,621493,316,15.3,39.6,109.7,89.5,93.5,86.2,425,189,402,130,41.3,36,11.4,7.5
Bellinger, Cody,641355,315,20.5,32.7,107.3,89.6,92.5,87,431,183,396,119,37.8,25,7.9,5.1
Rojas, Josh,668942,315,12.2,34,109.1,89,92.1,85.2,430,164,397,117,37.1,13,4.1,2.9
Miller, Owen,680911,313,10.1,35.8,108.7,85.9,90.5,82.2,423,155,392,98,31.3,10,3.2,2.3
Hosmer, Eric,543333,312,3.3,29.5,112.9,88.3,91.3,88.2,412,125,395,123,39.4,18,5.8,4.3
Brown, Seth,664913,312,16.2,35.3,112.9,89.5,94.3,85.5,452,185,401,129,41.3,38,12.2,8
Mateo, Jorge,622761,307,15.3,36.2,111.3,86.9,91.1,82.9,412,172,394,99,32.2,19,6.2,4.1
Dozier, Hunter,641531,307,12.4,32.9,110.7,88.1,92.7,84.6,429,163,404,114,37.1,22,7.2,4.9
Renfroe, Hunter,592669,305,17,32.8,112.5,90.4,94.6,88.2,447,179,407,136,44.6,36,11.8,8.1
Castro, Harold,605612,305,11.7,43.6,107.3,87.2,92.4,81.2,423,167,389,104,34.2,18,5.9,4.6
Carlson, Dylan,666185,304,11.7,35.2,108.7,86.2,91.1,81.2,431,165,401,81,26.6,14,4.6,3.2
Wong, Kolten,543939,304,13,34.5,108.6,87.3,89.6,86.2,415,159,384,108,35.5,13,4.3,3
Vázquez, Christian,543877,302,11.7,36.8,109.5,88,91.1,86.3,419,158,388,108,35.8,16,5.3,4.1
Yastrzemski, Mike,573262,301,19.5,35.2,109.7,89.4,92.9,86.3,420,179,399,122,40.5,32,10.6,6.6
Contreras, Willson,575929,299,9,30.1,116.2,90,96.9,85.7,453,150,401,141,47.8,31,10.4,6.7
Franco, Maikel,596748,299,11.5,33.1,112.1,87,91,85.9,428,153,409,103,34.4,14,4.7,3.6
Acuña Jr., Ronald,660670,299,10.7,33.1,116.6,91.3,95.8,88.1,464,153,437,153,51.2,38,12.7,8.2
Joe, Connor,656582,298,11,35.6,110.1,85.2,89.1,83.4,444,157,400,100,33.6,13,4.4,2.9
Grisham, Trent,663757,298,14.8,24.5,111.1,88,93.8,84.2,457,154,398,103,34.6,25,8.4,5.1
Perdomo, Geraldo,672695,298,11.3,27.9,104.7,84.9,89.2,82.9,417,132,391,78,26.2,6,2,1.4
Peralta, David,444482,298,15.4,34.2,113,90.2,93.4,88.8,452,180,411,132,44.3,27,9.1,6.2
Robert, Luis,673357,295,9.6,32.5,117.8,89.3,93.6,86.3,452,160,410,127,43.1,27,9.2,7
Santana, Carlos,467793,293,15.7,31.4,111.3,90.6,93.4,89.8,434,171,398,130,44.4,25,8.5,5.9
Lux, Gavin,666158,293,7.1,35.2,108.1,87.8,93.6,83,431,151,411,117,39.9,19,6.5,4.5
Urías, Ramón,602104,292,11.1,31.5,110,89.7,94.2,87.1,432,152,403,139,47.6,28,9.6,6.8
Hernández, Teoscar,606192,292,11.9,33.6,114.1,92.8,98.2,87.7,461,169,409,157,53.8,40,13.7,8.7
Stott, Bryson,681082,292,13.8,29.5,108.4,88.3,90.7,88.1,415,153,388,110,37.7,13,4.5,3.3
Thomas, Alek,677950,292,3.1,28.1,111.3,87.4,92.1,85.2,432,124,394,101,34.6,12,4.1,3.1
